kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-59.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-60.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-61.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-62.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-63.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-64.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-65.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-66.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-67.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-68.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-69.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-70.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-71.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-72.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-73.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-74.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-75.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-76.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-77.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-78.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-79.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-80.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-81.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-82.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-83.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-84.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-85.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-86.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-87.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-88.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-89.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-90.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-91.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-92.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-93.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-94.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-95.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-96.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-97.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
